block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
6,1+3+4,0.257499,0.457370,0.000000,0.000000,0.664684,0.768722,0.552509,0.178293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0183631232,0.000588740886,0.1,0.0163671385
6,1+3+4,0.857153,0.821552,0.000000,0.000000,0.586567,0.687619,0.352868,0.525125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0210072938,0.000682409098,0.1,0.0203306562
6,1+3+4,0.222037,0.753097,0.000000,0.000000,0.530808,0.907360,0.270448,0.883802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0263136853,0.000847350502,0.1,0.0250736184
6,1+3+4,0.681680,0.319337,0.000000,0.000000,0.148756,0.580411,0.843059,0.326032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0180913548,0.000701776118,0.1,0.0162790326
7,1+3+5,0.906628,0.203350,0.000000,0.000000,0.226838,0.238912,0.000000,0.000000,0.373557,0.599398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00426751743,0.000238134108,0.1,0.00438161607
7,1+3+5,0.477595,0.180922,0.000000,0.000000,0.252768,0.514293,0.000000,0.000000,0.781254,0.125422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00590702066,0.000301027552,0.1,0.0057162934
7,1+3+5,0.969598,0.187882,0.000000,0.000000,0.188043,0.980311,0.000000,0.000000,0.465841,0.548575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00587534908,0.000315075789,0.1,0.00576205844
7,1+3+5,0.667596,0.869598,0.000000,0.000000,0.328335,0.496637,0.000000,0.000000,0.870878,0.468708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0107068041,0.0005288197,0.1,0.0102984295
7,1+3+5,0.449421,0.892035,0.000000,0.000000,0.826140,0.772159,0.000000,0.000000,0.718965,0.145348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0159337944,0.000615186811,0.1,0.0153627726
7,1+3+5,0.643988,0.584638,0.000000,0.000000,0.838292,0.717816,0.000000,0.000000,0.489371,0.579228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0158662892,0.000504509339,0.1,0.0150951919
7,1+3+5,0.917091,0.105921,0.000000,0.000000,0.474033,0.686815,0.000000,0.000000,0.230933,0.980473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.012660081,0.00048563666,0.1,0.0122778065
7,1+3+5,0.924336,0.825932,0.000000,0.000000,0.330634,0.446673,0.000000,0.000000,0.273210,0.938951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00550086336,0.000332828279,0.1,0.00546968937
8,1+3+6,0.596046,0.592650,0.000000,0.000000,0.500942,0.633340,0.000000,0.000000,0.000000,0.000000,0.571828,0.350918,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00382663971,0.000252163444,0.1,0.00400312387
8,1+3+6,0.158197,0.346217,0.000000,0.000000,0.792400,0.164091,0.000000,0.000000,0.000000,0.000000,0.695836,0.145344,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.000599331521,0.000109984859,0.1,0.000640539163
8,1+3+6,0.622204,0.794784,0.000000,0.000000,0.544282,0.811424,0.000000,0.000000,0.000000,0.000000,0.695486,0.687680,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00238908867,0.000214564441,0.1,0.00252802475
8,1+3+6,0.203760,0.462061,0.000000,0.000000,0.617972,0.942418,0.000000,0.000000,0.000000,0.000000,0.676622,0.264903,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00377247529,0.000243477045,0.1,0.00382740827
8,1+3+6,0.724841,0.891322,0.000000,0.000000,0.795098,0.681049,0.000000,0.000000,0.000000,0.000000,0.898808,0.839310,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00347393496,0.000257189648,0.1,0.00312786944
8,1+3+6,0.240601,0.899915,0.000000,0.000000,0.516545,0.403454,0.000000,0.000000,0.000000,0.000000,0.839188,0.508821,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0014860093,0.000173484877,0.1,0.0012777064
8,1+3+6,0.863867,0.213929,0.000000,0.000000,0.900230,0.135550,0.000000,0.000000,0.000000,0.000000,0.583925,0.499265,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.000280883656,7.99456643e-05,0.1,0.00035834698
8,1+3+6,0.154260,0.670773,0.000000,0.000000,0.110783,0.630292,0.000000,0.000000,0.000000,0.000000,0.124428,0.521333,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.000599871374,0.000114830007,0.1,0.000776270666
9,1+3+7,0.259232,0.541365,0.000000,0.000000,0.584901,0.240582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653333,0.820297,0.000000,0.000000,-5.08586321e-05,0.00593448566,0.000364432071,0.1,0.00666278316
9,1+3+7,0.216539,0.489144,0.000000,0.000000,0.400944,0.624860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480412,0.125857,0.000000,0.000000,-5.08586321e-05,0.00940501643,0.000433715123,0.1,0.0102887516
9,1+3+7,0.114335,0.630125,0.000000,0.000000,0.754642,0.935364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.455636,0.400008,0.000000,0.000000,-5.08586321e-05,0.02336788,0.000703265407,0.1,0.0247659281
9,1+3+7,0.328300,0.682054,0.000000,0.000000,0.153574,0.661838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265189,0.557927,0.000000,0.000000,-5.08586321e-05,0.00918711413,0.00043092576,0.1,0.01040189
9,1+3+7,0.655497,0.600027,0.000000,0.000000,0.220826,0.879155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.447626,0.198342,0.000000,0.000000,-5.08586321e-05,0.0182487009,0.000676868787,0.1,0.0195770758
9,1+3+7,0.378778,0.334434,0.000000,0.000000,0.597231,0.887203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.758866,0.542253,0.000000,0.000000,-5.08586321e-05,0.0144775884,0.000553119317,0.1,0.0167318775
9,1+3+7,0.171158,0.311858,0.000000,0.000000,0.797708,0.345321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311734,0.991636,0.000000,0.000000,-5.08586321e-05,0.00286628602,0.000231831935,0.1,0.00372725526
9,1+3+7,0.131167,0.708196,0.000000,0.000000,0.439013,0.195399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.792329,0.886502,0.000000,0.000000,-5.08586321e-05,0.00862449624,0.000428198113,0.1,0.00867082635
