timestamp,elapsed_min,sig_mean_mV,sig_sem_mV,laser_mean_mV,laser_sem_mV,pmt_ohm_Ohm
2026-08-29T15:10:26,750.00,23.198043,0.048553,0.051823,0.000156,8865.465
2026-08-29T15:25:26,765.00,22.942481,0.049628,0.052652,0.000157,8863.263
2026-08-29T15:40:26,780.00,22.91836,0.048111,0.052745,0.00016,8859.426
2026-08-29T15:55:26,795.00,23.071872,0.049651,0.052435,0.000148,8846.94
2026-08-29T16:10:26,810.00,22.827707,0.049927,0.050083,0.000172,8834.76
2026-08-29T16:25:26,825.00,22.924534,0.049531,0.051005,0.000149,8828.68
2026-08-29T16:40:26,840.00,22.93509,0.050826,0.052253,0.000166,8825.018
2026-08-29T16:55:26,855.00,22.938243,0.052306,0.051604,0.000163,8822.227
2026-08-29T17:10:26,870.00,22.742481,0.053049,0.050612,0.000163,8817.333
2026-08-29T17:25:26,885.00,22.982728,0.050598,0.050738,0.000147,8815.295
2026-08-29T17:40:26,900.00,23.076038,0.050715,0.052081,0.000148,8797.15
2026-08-29T17:55:26,915.00,23.063534,0.050014,0.05289,0.000162,8796.537
2026-08-29T18:10:26,930.00,22.825103,0.047481,0.050892,0.000156,8793.337
2026-08-29T18:25:26,945.00,22.927888,0.055643,0.050465,0.000156,8792.423
2026-08-29T18:40:26,960.00,22.827725,0.050983,0.050018,0.000161,8804.343
2026-08-29T18:55:26,975.00,22.875252,0.049384,0.052058,0.000159,8812.28
2026-08-29T19:10:26,990.00,22.805855,0.049358,0.050711,0.000158,8821.058
2026-08-29T19:25:26,1005.00,22.882484,0.050206,0.050958,0.000161,8827.341
2026-08-29T19:40:26,1020.00,22.946897,0.054224,0.053345,0.000154,8840.873
2026-08-29T19:55:26,1035.00,22.767643,0.051864,0.051198,0.000168,8853.998
2026-08-29T20:10:26,1050.00,22.985129,0.049579,0.051276,0.000147,8857.743
2026-08-29T20:25:26,1065.00,22.91601,0.050575,0.051708,0.000155,8883.741
2026-08-29T20:40:26,1080.00,22.640191,0.052804,0.051703,0.000156,8881.89
2026-08-29T20:55:26,1095.00,22.786099,0.051003,0.050331,0.000156,8890.1
2026-08-29T21:10:26,1110.00,22.954481,0.055097,0.051032,0.000162,8910.727
2026-08-29T21:25:26,1125.00,22.816019,0.050671,0.051691,0.000149,8919.275
2026-08-29T21:40:26,1140.00,22.96767,0.046519,0.051711,0.000162,8937.148
2026-08-29T21:55:26,1155.00,22.848022,0.047778,0.051529,0.000152,8953.442
2026-08-29T22:10:26,1170.00,22.608967,0.048544,0.050217,0.000154,8959.47
2026-08-29T22:25:26,1185.00,22.781798,0.049477,0.051245,0.000159,8966.06
2026-08-29T22:40:26,1200.00,22.968717,0.051432,0.05069,0.000164,8973.936
2026-08-29T22:55:26,1215.00,22.624725,0.04701,0.050636,0.000157,8993.067
2026-08-29T23:10:26,1230.00,22.92582,0.050502,0.049994,0.000155,9014.443
2026-08-29T23:25:26,1245.00,22.996208,0.052409,0.050801,0.000161,9009.379
2026-08-29T23:40:26,1260.00,22.729938,0.054402,0.051935,0.000147,9022.916
2026-08-29T23:55:26,1275.00,22.771821,0.04829,0.050238,0.000153,9037.264
