# step-6 v2 measurement, x/w replaced by delivered
# source: calib_step6v2_meas_0904_0140.csv  (0904 run, encoded with method=interp)
# delivered = sin^2(Delta(L)/2) from the fitted transfer model in calib_step3b_0903_1517.json
# *_cmd columns are the values the run asked for; level_* is the grayscale it actually wrote
trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio,x_cmd,w_cmd,level_x,level_w
0,5,0.987739713,0.696270672,0.687734193,0.0287134906,0.00153901756,0.0535991,1,0.7,875,687
0,5,0.987739713,0.458560633,0.452938548,0.0185630947,0.00125618631,0.0676712,1,0.45,875,612
0,5,0.987739713,0.252662094,0.249564384,0.0100488493,0.000866420454,0.0862209,1,0.25,875,545
0,5,0.500800234,0.500664853,0.250733075,0.0102597413,0.000893270106,0.0870656,0.5,0.5,615,625
0,5,0.987739713,0.211628903,0.209034272,0.00782927251,0.000777257285,0.0992758,1,0.2,875,530
0,5,0.987739713,0.00162323316,0.00160333185,-2.7230784e-05,0.000108891774,3.99885,1,0,875,395
0,5,0.000807703293,0.999482148,0.000807285022,-3.47609205e-05,7.68171963e-05,2.20987,0,1,395,860
0,5,0.500800234,0.00162323316,0.000812915544,-4.7500055e-05,6.97970738e-05,1.46941,0.5,0,615,395
0,5,0.000807703293,0.500664853,0.00040438865,-4.79786472e-05,7.07824397e-05,1.47529,0,0.5,395,625
0,5,0.000807703293,0.00162323316,1.31109077e-06,-7.40452867e-05,5.48642031e-05,0.740955,0,0,395,395
1,5,0.987739713,0.999482148,0.98722821,0.0415632279,0.00187986151,0.045229,1,1,875,860
1,5,0.987739713,0.943496415,0.931928879,0.0381987712,0.001767414,0.0462689,1,0.9,875,793
1,5,0.987739713,0.696270672,0.687734193,0.028462608,0.00159263096,0.0559552,1,0.7,875,687
1,5,0.987739713,0.458560633,0.452938548,0.0188390608,0.00123001042,0.0652904,1,0.45,875,612
1,5,0.987739713,0.252662094,0.249564384,0.0100683201,0.000882586266,0.0876597,1,0.25,875,545
1,5,0.500800234,0.500664853,0.250733075,0.0102745852,0.000922786475,0.0898125,0.5,0.5,615,625
1,5,0.987739713,0.211628903,0.209034272,0.0079334181,0.000717208797,0.0904035,1,0.2,875,530
1,5,0.987739713,0.00162323316,0.00160333185,-2.63783815e-05,8.54349718e-05,3.23883,1,0,875,395
