block,pairs,v,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
9,3+4,0.58,0,0,0.58,0.58,0.58,0.58,0,0,0,0,-8.10112243e-05,0.0315913441,0.000907326065,0.0287207,0.0276738604
9,3+4,0.74,0,0,0.74,0.74,0.74,0.74,0,0,0,0,-8.10112243e-05,0.0503312328,0.00121529881,0.024146,0.0450321419
9,3+4,0.9,0,0,0.9,0.9,0.9,0.9,0,0,0,0,-8.10112243e-05,0.072685637,0.00173362042,0.0238509,0.0665954452
10,3+5,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,-8.10112243e-05,0.000349507411,9.2328218e-05,0.264167,0.000336306441
10,3+5,0.26,0,0,0.26,0.26,0,0,0.26,0.26,0,0,-8.10112243e-05,0.00259793838,0.000210542913,0.0810423,0.00224781597
10,3+5,0.42,0,0,0.42,0.42,0,0,0.42,0.42,0,0,-8.10112243e-05,0.00700230304,0.000359181926,0.0512948,0.00584968763
10,3+5,0.58,0,0,0.58,0.58,0,0,0.58,0.58,0,0,-8.10112243e-05,0.0135582101,0.00058796063,0.0433657,0.0111419214
10,3+5,0.74,0,0,0.74,0.74,0,0,0.74,0.74,0,0,-8.10112243e-05,0.0219597357,0.00070616751,0.0321574,0.0181245173
10,3+5,0.9,0,0,0.9,0.9,0,0,0.9,0.9,0,0,-8.10112243e-05,0.0318470291,0.00130086741,0.0408474,0.0267974753
11,3+6,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.1,-8.10112243e-05,-3.32690187e-06,4.87061283e-05,14.6401,9.26967406e-05
11,3+6,0.26,0,0,0.26,0.26,0,0,0,0,0.26,0.26,-8.10112243e-05,0.000367094443,9.64308415e-05,0.262687,0.000585932515
11,3+6,0.42,0,0,0.42,0.42,0,0,0,0,0.42,0.42,-8.10112243e-05,0.00114371363,0.000142172117,0.124307,0.00150368643
11,3+6,0.58,0,0,0.58,0.58,0,0,0,0,0.58,0.58,-8.10112243e-05,0.00217579386,0.000180569042,0.08299,0.00284595849
11,3+6,0.74,0,0,0.74,0.74,0,0,0,0,0.74,0.74,-8.10112243e-05,0.0035343065,0.000248741099,0.070379,0.00461274869
11,3+6,0.9,0,0,0.9,0.9,0,0,0,0,0.9,0.9,-8.10112243e-05,0.0051827092,0.000323068564,0.0623358,0.00680405703
12,4+5,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,-8.10112243e-05,0.00097886651,0.000133520737,0.136403,0.000915639789
12,4+5,0.26,0,0,0,0,0.26,0.26,0.26,0.26,0,0,-8.10112243e-05,0.00625155936,0.000279684378,0.0447383,0.00615409666
12,4+5,0.42,0,0,0,0,0.42,0.42,0.42,0.42,0,0,-8.10112243e-05,0.0171817249,0.000594028439,0.0345733,0.016036779
12,4+5,0.58,0,0,0,0,0.58,0.58,0.58,0.58,0,0,-8.10112243e-05,0.0329831029,0.000915552177,0.0277582,0.0305636869
